"Название бренда";"URL имя";Публичный;Описание;"Сортировочный номер";Заголовок;"Ключевые слова";Описание;Изображение
Acer;acer;1;"<p>Тайваньская компания по производству компьютерной техники и электроники. Компания занимает 487 место в Fortune Global 500 (2011 год)<br /><br />В марте 2008 объявлено, что Acer покупает компанию E-Ten Information Systems (производитель коммуникаторов Glofiish, которые приобрели широкую популярность в России и на Украине). Приобретение компании завершено в III квартале 2008&nbsp;г. Сумма сделки оценивается в $290&nbsp;млн.</p>
<p>В феврале 2009 года на выставке Mobile World Congress в Барселоне компания представила свою первую продуктовую линейку коммуникаторов (сама компания называет устройства смартфонами), произведённую ресурсами компании E-TEN. О последнем явно свидетельствуют две модели линейки&nbsp;&mdash; Acer DX900, продажи которого начались в России в декабре 2008 под названием Glofiish DX900 и Acer X960, который является обычным рестайлингом оригинальной модели glofiish X900.</p>
<p>Источник - wikipedia.org</p>";4;;;;/modules/catalog/config/demo/images/acer.png
Apple;apple;1;"<p>Американская корпорация, производитель персональных и планшетных компьютеров, аудиоплееров, телефонов, программного обеспечения. Один из пионеров в области персональных компьютеров и современных многозадачных операционных систем с графическим интерфейсом. Штаб-квартира &mdash; в Купертино, штат Калифорния.</p>
<p>Благодаря инновационным технологиям и эстетичному дизайну, корпорация Apple создала уникальную репутацию, сравнимую с культом, в индустрии потребительской электроники. На 2014 год компания занимает первое место в мире по рыночной капитализации.</p>
<p>Компания основана в Калифорнии Стивом Джобсом и Стивом Возняком, собравшими в середине 1970-х свой первый персональный компьютер на базе процессора &laquo;MOS Technology 6502&raquo;. Продав несколько десятков таких компьютеров, молодые предприниматели получили финансирование и официально зарегистрировали фирму Apple Computer, Inc. 1 апреля 1976 года.<br /><br />&laquo;Apple I&raquo;, выпущенный в 1976 году, не был первым программируемым микрокомпьютером. Право первенства принадлежало микрокомпьютеру &laquo;Альтаир 8800&raquo;, который был создан Эдом Роберсом и распространялся через каталоги в 1974&mdash;1975 годах. Однако, &laquo;Альтаир&raquo; не был &laquo;персональным компьютером&raquo;, поскольку не давал возможности решать с его помощью более или менее серьёзные задачи.<br /><br />В 1976&mdash;1977 годах несколькими фирмами были выпущены первые персональные компьютеры, в том числе с 1977 года тысячами продавались компьютеры компаний Commodore и Tandy Radio Shack. Но первым массовым персональным компьютером, выпускавшимся миллионами экземпляров, стал компьютер Apple II. С 1977 по 1993 годы фирмой Apple выпускались различные модели из линейки 8 (позднее 8/16) разрядных компьютеров &laquo;Apple II&raquo;. В конце 1970-х и начале 1980-х годов &laquo;Apple II&raquo; и их клоны были самыми распространёнными в мире персональными компьютерами. Было продано более 5 млн компьютеров &laquo;Apple II&raquo; по всему миру.</p>
<p>Источник - wikipedia.org</p>";2;;;;/modules/catalog/config/demo/images/apple.png
Asus;asus;1;"<p>Расположенная на Тайване компания, производящая персональные компьютеры, а также компьютерные компоненты, такие, как материнские платы, графические карты, а также ноутбуки, мобильные телефоны, интернет-планшеты, оптические приводы и мониторы.<br />По состоянию на 2013 год компания является пятым поставщиком персональных компьютеров и планшетов в мире по объёму продаж (после HP, Lenovo, Dell и Acer).<br />Название торговой марки Asus происходит от слова Pegasus (Пегас). Полное наименование компании &mdash; ASUSTeK Computer Inc.</p>
<p>В настоящее время (на момент ноября 2013) Asus продаёт материнских плат больше, чем любая другая компания, достигнув числа в 30&nbsp;млн в 2004 году. Однако в это число входит и продукция, прошедшая ребрендинг.</p>
<p>Asus также производит различные компоненты для продуктов других корпораций, включая Sony (PlayStation 2), <span class=""mw-redirect"">Apple Inc.</span> (iPod, iPod Shuffle, MacBook), Alienware, <span class=""new"">Falcon Northwest</span>, <span class=""mw-redirect"">Palm, Inc.</span>, HP, и многие другие производители оборудования используют материнские платы ASUS в своих системах, (c 2008 года вся вышеперечисленная продукция изготавливается на производственных мощностях Pegatron Corporation).</p>
<p>Выручка компании в 2008&nbsp;году&nbsp;&mdash; $22,9&nbsp;млрд, чистая прибыль&nbsp;&mdash; $840 млн.</p>
<p>В 2010 году Asus постепенно сокращает свои заказы у дочерней компании Pegatron, данные планы соответствуют общей тенденции развития компании по сокращению зависимости от Pegatron Technology: в частности, речь идёт о материнских платах и графических подсистемах, производство которых может быть передано <span class=""new"">Elitegroup Computer Systems</span>&nbsp; (ECS).</p>
<p>Во второй половине 2010 года Asus также начала размещать свои заказы на фабриках компаний Foxconn Electronics (Hon Hai Precision Industry) и Quanta Computer.</p>
<p>По состоянию на третий квартал 2012 года входит в пятёрку крупнейших производителей персональных компьютеров (уступая Lenovo, Hewlett-Packard, Dell и Acer).</p>
<p>Источник - wikipedia.org</p>";3;;;;/modules/catalog/config/demo/images/asus.png
Fujitsu;fujitsu;1;"<p>В 1923 году была основана германская компания Fuji Denki Seizo K.K.}, англ. Fuji Electric Company) &mdash; совместное предприятие по выпуску электрического оборудования Siemens AG и Furukawa Denki Kogyo. Позднее, в 1984 году эта компания стала называться Fuji Electric.<br /><br />20 июня 1935 года из состава Fuji Denki Seizo K.K. выделяется компания Fuji Tsushinki Seizo англ. Fuji Telecommunications Equipment Manufacturing), занимавшаяся оборудованием для телефонии и ставшая впоследствии компанией Fujitsu.<br /><br />Компания тесно сотрудничает с концерном Siemens AG. В апреле 1978 года между компаниями было заключено соглашение о совместном производстве компьютеров, а в 1999 году была создана дочерняя компания Fujitsu Siemens Computers.<br /><br />В 2008 компания Siemens заявила, что компьютерный бизнес не является для компании профильным и вышла из предприятия. Соответственно, Fujitsu выкупила долю партнеров за &euro;450 млн и получила в наследство все региональные офисы и штат сотрудников Fujitsu Siemens Computers. C 1 апреля 2009 года компания называется Fujitsu Technology Solutions и специализируется на ИТ-решениях<br /><br />Источник - wikipedia.org</p>";5;;;;/modules/catalog/config/demo/images/fujitsu.png
Hewlett-Packard;hp;1;"<p>Крупная американская компания в сфере информационных технологий, поставщик аппаратного и программного обеспечения для организаций и индивидуальных потребителей. Штаб-квартира компании расположена в Пало-Альто (Калифорния, США).<br /><br />Компания предоставляет решения в области ИТ-инфраструктуры, персональных вычислительных систем и устройств доступа, услуги по системной интеграции, сервисной поддержке и аутсорсингу, а также устройства печати и средства вывода изображений.</p>
<p>HP была основана 1 января 1939 года Уильямом Хьюлеттом и Дэвидом Паккардом, выпускниками Стэнфордского университета 1934 года, в качестве компании по производству тестирующего и измеряющего оборудования. Их первым продуктом был прецизионный низкочастотный генератор, Model 200A. Новшеством в их устройстве было использование небольшой <span class=""mw-redirect"">лампы накаливания</span> в качестве резистора в критической части схемы. Это позволило им продавать Model 200A по цене $54,40, в то время как конкуренты предлагали менее стабильные генераторы по цене более $200.</p>
<p>Название компании было составлено из фамилий участников. Чья фамилия будет первой, они решали с помощью жребия. Паккард выиграл и поставил фамилию партнера первой.</p>
<p>Одним из первых клиентов фирмы стала <span class=""mw-redirect"">студия Уолта Диснея</span>, которая приобрела восемь генераторов Model 200B (по цене $71,50 каждый) для тестирования системы стереофонического звука, использовавшейся при работе над фильмом &laquo;Фантазия&raquo;.</p>
<p>Источник - wikipedia.org</p>";6;;;;/modules/catalog/config/demo/images/hp.png
HTC;htc;1;"<p>Тайваньский производитель смартфонов и планшетов. Компания изначально выпускала смартфоны в основном на базе мобильной операционной системы Windows Mobile от Microsoft, но в 2009 году начала выпускать большинство устройств на платформе Android, а с 2010 года и на платформе Windows Phone.<br /><br />HTC является членом Open Handset Alliance &mdash; группы производителей телефонов и операторов мобильной связи, занимающихся продвижением мобильной платформы Android. Смартфон HTC Dream, продававшийся оператором T-Mobile во многих странах под названием T-Mobile G1 или Era G1 в Польше, стал первым телефоном на рынке, использовавшим платформу Android</p>
<p>Корпорация HTC основана в 1997 году Шер Вонг (Cher Wang), Эйч Ти Чо (HT Cho) и Питером Чоу (Peter Chou). Первоначально компания занималась развитием направления ноутбуков и карманных персональных компьютеров, впоследствии приоритетным направлением стал активно развивающийся рынок <span class=""mw-redirect"">коммуникаторов</span>.</p>
<p>В 1998 году HTC разработала своё первое устройство с сенсорным экраном. В дальнейшем был выпущен ряд устройств, работающих на операционной системе Windows CE. Длительное время крупнейшими заказчиками корпорации НТС оставались компании <span class=""mw-redirect"">Fujitsu Siemens</span>, Hewlett-Packard и Dell. С 2001 года HTC стала поставлять устройства операторам связи, которые продавали их под своим брендом. Среди компаний-партнёров HTC: T-Mobile, Orange, <span class=""new"">O2</span>, Vodafone. Позднее было решено образовать собственный бренд, получивший название <span class=""mw-redirect"">Qtek</span>, а в 2004 году для продвижения продукции на рынке азиатских стран была создана компания Dopod. В 2006 году руководство корпорации приняло решение продвигать свою продукцию под единым брендом HTC.</p>
<p>Источник - wikipedia.org</p>";9;;;;/modules/catalog/config/demo/images/htc.png
Lenovo;lenovo;1;"<p>Китайская компьютерная компания, на третий квартал 2012 года занимает первое место в пятёрке крупнейших мировых производителей персональных компьютеров[2] (кроме Lenovo в пятёрке HP, Dell, Acer, Asus).<br /><br />Зарегистрирована в Сингапуре. Штаб-квартира компании Lenovo расположена в Перчейзе (штат Нью-Йорк, США), а основные операционные офисы &mdash; в Пекине (КНР) и Рейли (США, штат Северная Каролина). Основные исследовательские центры компании расположены в Ямато (Япония), в Пекине, Шанхае и Шэньчжэне (КНР), а также в Рейли (штат Северная Каролина, США).<br /><br />На 2014 год в коллективе компании более 46 000 сотрудников (с учетом совместных предприятий) из более чем 60 стран. Компания обслуживает клиентов в более чем 160 странах мира.</p>
<p>Компания основана в 1984 году группой китайских учёных на средства Китайской академии наук. Первоначально компания носила название New Technology Developer Incorporated (спустя два года&nbsp;&mdash; Legend) и специализировалась на поставках компьютерной техники в Китай, а также на разработке кодировок для иероглифов.</p>
<p>В 2003 году компания сменила название на Lenovo.</p>
<p>В декабре 2004 года было заключёно широкое многолетнее соглашение между корпорацией IBM и компанией Lenovo. В соответствии с этим соглашением компания Lenovo выкупила IBM Personal Systems Group&nbsp;&mdash; подразделение по производству персональных компьютеров за $1,25 млрд (сделка была завершена в мае 2005 года). По условиям сделки Lenovo могла использовать бренд IBM до 2010 года, а после этой даты продукты компании выпускаются только под маркой Lenovo. В соответствии с заключённым альянсом обе компании взаимно дополняют друг друга и могут предлагать клиентам через свои дистрибьюторские каналы продукты обеих компаний как IBM так и Lenovo.</p>
<p>В третьем квартале 2010/11 финансового года, в рамках договорённости Lenovo и NEC. создают совместное подразделение NEC Lenovo Japan Group, В результате сделки, оценённой в $175&nbsp;млн, Lenovo получила 51&nbsp;%, а NEC 49&nbsp;% акций совместного предприятия.</p>
<p><br />Источник - wikipedia.org</p>";8;;;;/modules/catalog/config/demo/images/lenovo.png
MSI;msi;1;"<p>Тайваньская компания, один из мировых лидеров в сфере компьютерной техники. Компания занимается производством серверов, настольных и серверных материнских плат, видеокарт, ноутбуков, нетбуков, сетевого оборудования, Barebone-систем, оптических устройств и другой потребительской электроники. Компания входит в тройку крупнейших производителей системных плат (Asus, MSI, Gigabyte).<br /><br />Несмотря на то, что фирма функционирует с 1986 года, выпускать продукцию под собственным брендом она начала лишь во второй половине 1990-х годов. 50 % продукции MSI производит для OEM-рынка.<br /><br />Например, такие знаменитые компании, как Acer, Dell, и Hewlett Packard часто заказывают крупные партии комплектующих у MSI для сборки собственной продукции.</p>
<p>MSI была создана в августе 1986 года. MSI в начале была сосредоточнена на разработке и производстве компьютерных плат и видеокарт. В 1987 году компания выпустила первую в мире материнскую плату для разгона. MSI также расширилась в материковом Китае, открыв свой завод в Шэньчжэне в 2000 году.</p>
<p>1987 MSI представила первую материнскую плату для разгоняемых микропроцессоров <span class=""mw-redirect"">Intel 80286</span></p>
<p>1991 MSI представила первые материнские платы для <span class=""mw-redirect"">i486</span>/586 микропроцессоров</p>
<p>1998 MSI стала публичной компанией</p>
<p>1998 MSI представила первый в мире процессорный разъем Socket 7</p>
<p>Источник - wikipedia.org</p>";11;;;;/modules/catalog/config/demo/images/msi.png
"Packard Bell";packard-bell;1;"<p>Первоначальная компания основана в США в 1926 году и являлась производителем радиоприёмников. В течение второй мировой войны снабжала армию США электроникой. Позже Packard Bell вышла на рынок телевизоров, а также стала выпускать компьютеры.<br /><br />В 1986 году группа израильских инвесторов выкупила марку Packard Bell для создания новой компании, занимавшейся производством IBM PC-совместимых компьютеров. В конце 90-х приобретена компанией NEC.<br /><br />В 2008 году компанию Packard Bell приобрела корпорация Acer Inc.</p>
<p>Источник - wikipedia.org</p>";10;;;;/modules/catalog/config/demo/images/packardbell.png
Panasonic;panasonic;1;"<p>Крупная японская машиностроительная корпорация, один из крупнейших в мире производителей бытовой техники и электронных товаров. Штаб-квартира &mdash; в городе Кадома префектуры Осака (Япония). В 2011 году компания заняла 50-е место по объёму выручки в глобальном рейтинге компаний Fortune Global 500.</p>
<p>До 1 октября 2008 года носила название Matsushita Electric Industrial Co., Ltd. Panasonic (как и National, National Panasonic, Technics, Quasar) была одной из торговых марок этой компании.</p>
<p>С момента образования в 1918 году, компания была известна как Matsushita Electric Housewares Manufacturing Works, которое было изменено на Matsushita Electric Manufacturing Works в 1929 году. Название Matsushita Electric Industrial Co., Ltd. компания носила с 1935 года, когда она стала акционерной корпорацией. Хотя компания использовала бренды Panasonic и National в течение длительного времени, в 2003 году было решено, что бренд &laquo;Панасоник&raquo; станет в качестве глобального бренда для усиления конкурентоспособности на мировом рынке наряду со своим слоганом&nbsp;&mdash; &laquo;Panasonic ideas for life&raquo;.</p>
<p>С начала 60-х годов XX века компании принадлежал контрольный пакет акций компании JVC (Victor Company of Japan, Limited), разработчика стандарта бытового видео VHS. В 2007 году компания продала контрольный пакет компании JVC группе инвесторов.</p>
<p>С 1 октября <span class=""mw-redirect"">2008</span> компания Matsushita Electric Industrial Co., Ltd. поменяла название на Panasonic Corporation. Переименованию были подвержены все бренды компании, в названиях которых присутствовали названия Matsushita или National. Наряду с изменением названия, компания работает над полным переходом бренда National на Panasonic в Японии, которое должно завершиться к марту 2010 года.</p>
<p>В марте 2011 года генеральный директор компании Дзюнъитиро Китагава отметил, что в результате землетрясения в Японии пострадало три завода компании, что, возможно, скажется на продаже цифровых аппаратов.</p>
<p>Источник - wikipedia.org</p>";7;;;;/modules/catalog/config/demo/images/panasonic.png
Samsung;samsung;1;"<p>Южнокорейская группа компаний, один из крупнейших в Южной Корее чеболей, основанный в 1938 году. На мировом рынке известен как производитель высокотехнологичных компонентов, телекоммуникационного оборудования, бытовой техники, аудио- и видеоустройств. Штаб-квартира в Сеуле.<br /><br />Слово &laquo;Самсунг&raquo; в корейском языке означает &laquo;три звезды&raquo;. Возможна связь такого названия с тремя сыновьями основателя Samsung Ли Бёнчхоля, младший из которых Ли Гонхи (иногда его имя пишется Ли Кун Хи &mdash; калька с английского: Lee Kun-hee) возглавил компанию в 1987 году в нарушение всех восточных традиций наследования, в согласии с которыми старший сын наследует большую часть семейной собственности.</p>
<p>В <span class=""mw-redirect"">1930-х годах</span> в Корее предприниматель Ли Бёнчхоль открывает своё дело по производству рисовой муки. Небольшой склад в городе Тэгу становится началом большой истории компании Samsung. В это время Корея являлась колонией Японии, и в стране было довольно сложно заниматься частным предпринимательством. Тем не менее, уже в 1938 году Ли удаётся создать первый независимый канал для экспорта из Кореи в <span class=""mw-redirect"">Китай</span> и Маньчжурию. Активное развитие поставок пищевых продуктов, таких как рис, сахар и сушёная рыба, дало возможность официально зарегистрировать торговую марку Samsung Trading Company. Иностранное (для Кореи) происхождение названия явилось следствием далеко идущих, амбициозных планов корейского предпринимателя: уже к концу <span class=""mw-redirect"">1950-х годов</span> Ли Бён собирался наладить торговлю со странами Американского континента. А после высадки войск США на Корейском полуострове продукция завода по производству рисовой водки и пива стала продаваться представителям союзных войск. <span class=""mw-redirect"">Война в Корее</span> положила конец этому бизнесу. Склады были разграблены и сожжены так же, как и основные заводы компании.</p>
<p>Источник - wikipedia.org</p>";12;;;;/modules/catalog/config/demo/images/samsung.png
Sony;sony;1;"<p>Корпорация &laquo;Sony&raquo; была основана Акио Моритой и Масару Ибукой 7 мая 1946 года. В самом начале она называлась &laquo;Токё цусин когё кабусики-гайся&raquo; (Токийская телекоммуникационно-промышленная компания) или сокращённо Тоцуко, но, как выяснил Акио Морита, это название тяжело произносить американцам. Нынешнее название &laquo;Сони&raquo; произошло от комбинации лат. sonus (&laquo;звук&raquo;) и англ. sunny boys (&laquo;солнечные ребята&raquo;; в варианте англ. sonny-boys приобрело в японском значение &laquo;малолетние гении&raquo;); кроме того, Морита старался найти слово, которого нет ни в одном языке мира. Поскольку в японском звуки &laquo;сонни&raquo; напоминают слово, обозначающее неуспешный бизнес, было решено убрать одну из букв n.<br /><br />Морита возглавлял компанию долгое время, отвечал за маркетинг и продажи и сумел привести её к огромному успеху на рынке. Sony сделала своё имя на хорошем и привлекательном дизайне и новшествах. Особенную роль компания уделяла уменьшению размеров своих изделий.<br /><br />В 1950-е годы компания выпустила свой первый радиоприёмник &mdash; &laquo;TR-63&raquo;, эта новинка положила начало успеху компании. Приемник, хоть и назывался карманным и действительно был маленьким, в карман обычной мужской рубашки не влезал. Для коммивояжеров компания сшила специальные рубашки с увеличенными карманами, что бы они могли при продаже продемонстрировать, как легко туда входит приемник.</p>
<p>Источник - wikipedia.org</p>";13;;;;/modules/catalog/config/demo/images/sony.png
